Grouping,Number of Respondents,0 (lbs),1 to 50 (lbs),51 to 100 (lbs),101 to 500 (lbs),501 to 1000 (lbs),1000 to 5000 (lbs),5000+ (lbs),Mean,Median,
ALL,342,43.9,19.9,9.1,13.7,8.5,4.7,0.3,259,25,100.0
By County,,,,,,,,,,,0.0
Oahu,121,47.1,20.7,8.3,9.9,7.4,6.6,0.0,196,25,100.0
Hawaii,130,47.7,24.6,7.7,9.2,7.7,3.1,0.0,187,25,100.0
Maui,51,31.4,15.7,7.8,21.6,13.7,7.8,2.0,670,75,100.0
Kauai,39,35.9,7.7,17.9,30.8,7.7,0.0,0.0,165,75,100.0
By Primary Fishing Motivation,,,,,,,,,,,0.0
Recreational Expense,105,47.6,19.0,8.6,14.3,5.7,4.8,0.0,169,25,100.0
Part-Time Commercial,92,47.8,17.4,9.8,12.0,8.7,4.3,0.0,175,25,100.0
Subsistence,49,40.8,20.4,14.3,18.4,6.1,0.0,0.0,117,25,100.0
Full-Time Commercial,34,35.3,17.6,2.9,5.9,20.6,14.7,2.9,1087,25,100.0
Purely Recreational,26,46.2,34.6,7.7,3.8,7.7,0.0,0.0,84,25,100.0
Cultural,4,50.0,0.0,0.0,25.0,25.0,0.0,0.0,263,150,100.0
By Most Common Gear,,,,,,,,,,,0.0
Troll,187,54.0,22.5,7.0,11.2,3.7,1.6,0.0,97,0,100.0
Bait for Pelagic,46,39.1,23.9,10.9,15.2,8.7,2.2,0.0,234,25,100.0
HL for Deep7 deep,48,0.0,2.1,14.6,29.2,29.2,22.9,2.1,1094,750,100.0
HL for Deep7 shallow,30,46.7,23.3,16.7,6.7,6.7,0.0,0.0,88,25,100.0
Spear,6,50.0,50.0,0.0,0.0,0.0,0.0,0.0,13,12.5,100.0
By Sub-fishery,,,,,,,,,,,0.0
Pelagic,327,43.1,20.2,9.2,14.4,8.3,4.9,0.0,213,25,100.0
Deep7 Bottom,198,13.6,26.8,14.1,22.7,14.1,8.1,0.5,438,75,100.0
Non-Deep7 Bottom,200,37.0,22.0,9.5,15.0,11.5,5.0,0.0,237,25,100.0
Coral Reef,55,41.8,18.2,5.5,18.2,12.7,3.6,0.0,240,25,100.0
,,,,,,,,,,,0.0
