Grouping,Number of Respondents,0 to 50 (lbs),51 to 100 (lbs),101 to 500 (lbs),501 to 1000 (lbs),1000 to 5000 (lbs),5000+ (lbs),Mean,Median,,,,,,,,,,,,,,,,,,
ALL,342,2.339181287,2.923976608,23.68421053,21.92982456,37.42690058,11.69590643,3161.535088,925,342,2.3,2.9,23.7,21.9,37.4,11.7,"3,162",925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
By County,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Oahu,121,4.132231405,4.132231405,24.79338843,18.18181818,41.32231405,7.438016529,2169.983471,925,121,4.1,4.1,24.8,18.2,41.3,7.4,"2,170",925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Hawaii,130,1.538461538,1.538461538,23.84615385,24.61538462,33.84615385,14.61538462,3857.930769,862.5,130,1.5,1.5,23.8,24.6,33.8,14.6,"3,858",862.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Maui,51,0,3.921568627,23.52941176,25.49019608,37.25490196,9.803921569,2499.784314,900,51,0,3.9,23.5,25.5,37.3,9.8,"2,500",900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Kauai,39,2.564102564,2.564102564,17.94871795,20.51282051,38.46153846,17.94871795,4854.666667,1625,39,2.6,2.6,17.9,20.5,38.5,17.9,"4,855",1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
By Primary Fishing Motivation,,,,,,,,,,By Primary Fishing Motivation,,,,,,,,,#VALUE!,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Recreational Expense,105,3.80952381,5.714285714,20.95238095,24.76190476,41.9047619,2.857142857,1335.085714,800,105,3.8,5.7,21,24.8,41.9,2.9,"1,335",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Part-Time Commercial,92,2.173913043,3.260869565,16.30434783,19.56521739,43.47826087,15.2173913,2808.608696,1350,92,2.2,3.3,16.3,19.6,43.5,15.2,"2,809",1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Subsistence,49,0,2.040816327,36.73469388,36.73469388,20.40816327,4.081632653,1352.346939,750,49,0,2,36.7,36.7,20.4,4.1,"1,352",750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Full-Time Commercial,34,2.941176471,0,8.823529412,5.882352941,26.47058824,55.88235294,14985.61765,8845,34,2.9,0,8.8,5.9,26.5,55.9,"14,986",8845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Purely Recreational,26,0,0,69.23076923,11.53846154,19.23076923,0,615.3846154,350,26,0,0,69.2,11.5,19.2,0,615,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cultural,4,0,0,0,50,0,50,9687.5,3662.5,4,0,0,0,50,0,50,"9,688",3662.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0
By Most Common Gear,,,,,,,,,,By Most Common Gear,,,,,,,,,#VALUE!,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Troll,187,3.20855615,2.139037433,30.48128342,23.52941176,31.55080214,9.090909091,2675.304813,775,187,3.2,2.1,30.5,23.5,31.6,9.1,"2,675",775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bait for Pelagic,46,4.347826087,0,8.695652174,17.39130435,43.47826087,26.08695652,6313.413043,2361,46,4.3,0,8.7,17.4,43.5,26.1,"6,313",2361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
HL for Deep7 deep,48,0,4.166666667,18.75,20.83333333,50,6.25,2079.354167,1112.5,48,0,4.2,18.8,20.8,50,6.3,"2,079",1112.5,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0,0.0
HL for Deep7 shallow,30,0,6.666666667,16.66666667,33.33333333,36.66666667,6.666666667,1443.833333,775,30,0,6.7,16.7,33.3,36.7,6.7,"1,444",775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Spear,6,0,33.33333333,33.33333333,0,33.33333333,0,666.6666667,225,6,0,33.3,33.3,0,33.3,0,667,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
By Sub-fishery,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Pelagic,327,2.44648318,2.752293578,24.4648318,22.32415902,36.69724771,11.31498471,3076.152905,875,327,2.4,2.8,24.5,22.3,36.7,11.3,"3,076",875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Deep7 Bottom,198,1.515151515,2.525252525,22.72727273,18.18181818,42.42424242,12.62626263,3491.010101,1112.5,198,1.5,2.5,22.7,18.2,42.4,12.6,"3,491",1112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Non-Deep7 Bottom,200,1.5,3,17.5,20,44,14,3239.99,1175,200,1.5,3,17.5,20,44,14,"3,240",1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coral Reef,55,1.818181818,3.636363636,16.36363636,7.272727273,49.09090909,21.81818182,3570.509091,1550,55,1.8,3.6,16.4,7.3,49.1,21.8,"3,571",1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
