Category,Description,Number of respondents,Mean,Standard error,Median,Percentage of total cost
Boat Fuel,Pelagic,352,132.15,6.37,100.00,43.0
,Deep 7 bottomfish,82,109.59,9.34,100.00,36.1
,Shallow bottomfish,74,76.96,10.19,50.00,29.9
,Coral reef,17,68.76,13.50,50.00,31.1
Truck Fuel,Pelagic,352,21.47,1.00,20.00,7.0
,Deep 7 bottomfish,82,19.47,1.54,20.00,6.4
,Shallow bottomfish,74,20.20,2.97,15.00,7.8
,Coral reef,17,22.82,4.48,17.00,10.3
Oil,Pelagic,352,5.36,0.54,0.00,1.7
,Deep 7 bottomfish,82,4.07,0.77,0.00,1.3
,Shallow bottomfish,74,5.36,1.77,0.00,2.1
,Coral reef,17,4.53,1.66,0.00,2.1
Ice,Pelagic,352,36.20,1.97,30.00,11.8
,Deep 7 bottomfish,82,30.59,3.01,24.50,10.1
,Shallow bottomfish,74,30.24,4.77,20.00,11.7
,Coral reef,17,30.53,9.21,16.00,13.8
Bait,Pelagic,352,22.72,1.47,15.50,7.4
,Deep 7 bottomfish,82,45.57,3.97,40.00,15.0
,Shallow bottomfish,74,24.32,4.02,12.50,9.4
,Coral reef,17,22.82,15.48,0.00,10.3
Food and beverage,Pelagic,352,27.20,1.43,20.00,8.9
,Deep 7 bottomfish,82,30.20,2.82,25.00,9.9
,Shallow bottomfish,74,29.63,5.17,20.00,11.5
,Coral reef,17,21.53,3.59,20.00,9.7
Daily maintenance and repair,Pelagic,352,26.64,2.78,17.50,8.7
,Deep 7 bottomfish,82,26.83,4.91,17.50,8.8
,Shallow bottomfish,74,36.58,7.24,17.50,14.2
,Coral reef,17,21.47,6.83,10.00,9.7
Gear lost,Pelagic,352,28.80,2.61,15.00,9.4
,Deep 7 bottomfish,82,26.00,3.62,20.00,8.6
,Shallow bottomfish,74,24.07,5.08,10.00,9.3
,Coral reef,17,10.24,8.77,0.00,4.6
Other,Pelagic,352,6.53,1.89,0.00,2.1
,Deep 7 bottomfish,82,11.65,6.40,0.00,3.8
,Shallow bottomfish,74,10.20,4.93,0.00,4.0
,Coral reef,17,18.24,17.62,0.00,8.3
Total trip cost,Pelagic,352,307.07,12.81,259.50,100.0
,Deep 7 bottomfish,82,303.96,22.06,267.00,100.0
,Shallow bottomfish,74,257.57,33.35,166.75,100.0
,Coral reef,17,220.94,64.99,131.00,100.0
