TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean (excluse 0)
ALL,290,1.0,24.1,31.7,24.8,11.7,6.6,37.0
By County,,,,,,,,
Oahu,100,1.0,29.0,38.0,23.0,7.0,2.0,29.9
Hawaii,117,0.9,21.4,29.1,26.5,12.0,10.3,40.6
Maui,41,2.4,17.1,22.0,29.3,17.1,12.2,46.5
Kauai,30,0.0,26.7,33.3,20.0,20.0,0.0,34.7
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,91,0.0,25.3,36.3,23.1,7.7,7.7,34.9
Part-Time Commercial,82,2.4,22.0,31.7,25.6,11.0,7.3,37.9
Subsistence,39,2.6,30.8,25.6,25.6,15.4,0.0,33.2
Full-Time Commercial,28,0.0,14.3,35.7,21.4,21.4,7.1,43.2
Purely Recreational,22,0.0,27.3,18.2,36.4,18.2,0.0,37.7
Cultural,3,0.0,0.0,33.3,0.0,0.0,66.7,71.7
By Most Common Gear,,,,,,,,
Troll,173,0.6,19.7,34.1,28.3,11.6,5.8,38.1
Bait for Pelagic,44,0.0,13.6,31.8,22.7,20.5,11.4,46.1
HL for Deep7 deep,34,2.9,41.2,32.4,17.6,2.9,2.9,24.7
HL for Deep7 shallow,17,5.9,58.8,23.5,11.8,0.0,0.0,15.6
Spear,4,0.0,25.0,25.0,25.0,0.0,25.0,43.8
By Sub-fishery,,,,,,,,
Pelagic,285,0.7,24.6,31.2,25.3,11.6,6.7,36.9
Deep7 Bottom,165,0.6,27.3,30.3,23.6,10.3,7.9,36.2
Non-Deep7 Bottom,166,0.6,24.7,30.7,24.1,12.7,7.2,37.5
Coral Reef,42,2.4,23.8,16.7,33.3,16.7,7.1,42.3
