TYPE,Number of Respondents,< 25 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65+ years,,,,,,,,,,,,,
ALL,343,1.457725948,6.997084548,11.0787172,17.20116618,25.0728863,38.19241983,343,8.5,11.1,17.2,25.1,38.2,0.0,0.0,0.0,0.0,0.0,0.0,
By County,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Oahu,122,2.459016393,4.918032787,13.1147541,18.85245902,28.68852459,31.96721311,122,7.4,13.1,18.9,28.7,32,0.0,0.0,0.0,0.0,0.0,0.0,
Hawaii,131,0.763358779,8.396946565,10.6870229,18.32061069,20.61068702,41.22137405,131,9.2,10.7,18.3,20.6,41.2,0.0,0.0,0.0,0.0,0.0,0.0,
Maui,49,2.040816327,8.163265306,14.28571429,8.163265306,26.53061224,40.81632653,49,10.2,14.3,8.2,26.5,40.8,0.0,0.0,0.0,0.0,0.0,0.0,
Kauai,39,0,7.692307692,2.564102564,20.51282051,25.64102564,43.58974359,39,7.7,2.6,20.5,25.6,43.6,0.0,0.0,0.0,0.0,0.0,0.0,
By Primary Fishing Motivation,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Recreational Expense,105,0.952380952,3.80952381,10.47619048,18.0952381,24.76190476,41.9047619,105,4.8,10.5,18.1,24.8,41.9,0.0,0.0,0.0,0.0,0.0,0.0,
Part-Time Commercial,94,2.127659574,6.382978723,10.63829787,15.95744681,26.59574468,38.29787234,94,8.5,10.6,16,26.6,38.3,0.0,0.0,0.0,0.0,0.0,0.0,
Subsistence,49,0,10.20408163,14.28571429,16.32653061,32.65306122,26.53061224,49,10.2,14.3,16.3,32.7,26.5,0.0,0.0,0.0,0.0,0.0,0.0,
Full-Time Commercial,34,0,5.882352941,14.70588235,17.64705882,29.41176471,32.35294118,34,5.9,14.7,17.6,29.4,32.4,0.0,0.0,0.0,0.0,0.0,0.0,
Purely Recreational,25,0,4,16,24,16,40,25,4,16,24,16,40,0.0,0.0,0.0,0.0,0.0,0.0,
Cultural,4,25,50,0,0,25,0,4,75,0,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,
By Most Common Gear,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Troll,186,1.612903226,7.52688172,10.21505376,17.20430108,26.88172043,36.55913978,186,9.1,10.2,17.2,26.9,36.6,0.0,0.0,0.0,0.0,0.0,0.0,
Bait for Pelagic,48,4.166666667,2.083333333,20.83333333,14.58333333,22.91666667,35.41666667,48,6.3,20.8,14.6,22.9,35.4,0.0,-0.1,0.0,0.0,0.0,0.0,
HL for Deep7 deep,47,0,8.510638298,8.510638298,23.40425532,21.27659574,38.29787234,47,8.5,8.5,23.4,21.3,38.3,0.0,0.0,0.0,0.0,0.0,0.0,
HL for Deep7 shallow,30,0,3.333333333,6.666666667,10,30,50,30,3.3,6.7,10,30,50,0.0,0.0,0.0,0.0,0.0,0.0,
Spear,6,0,0,16.66666667,16.66666667,33.33333333,33.33333333,6,0,16.7,16.7,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,
By Sub-fishery,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Pelagic,328,1.524390244,7.317073171,10.97560976,17.98780488,25,37.19512195,328,8.8,11,18,25,37.2,0.0,0.0,0.0,0.0,0.0,0.0,
Deep7 Bottom,197,1.015228426,8.629441624,12.18274112,17.76649746,21.82741117,38.5786802,197,9.6,12.2,17.8,21.8,38.6,0.0,0.0,0.0,0.0,0.0,0.0,
Non-Deep7 Bottom,200,2,9,10,20,24,35,200,11,10,20,24,35,0.0,0.0,0.0,0.0,0.0,0.0,
Coral Reef,55,3.636363636,18.18181818,12.72727273,20,18.18181818,27.27272727,55,21.8,12.7,20,18.2,27.3,0.0,0.0,0.0,0.0,0.0,0.0,
