TYPE,Number of Respondents,Less than high school graduate,High school graduate,Some college or associate’s degree,Bachelor’s degree or higher
ALL,341,2.346041055718475,21.700879765395893,43.10850439882698,32.84457478005865
By County,,,,,
Oahu,121,1.6528925619834711,15.702479338842975,37.1900826446281,45.45454545454545
Hawaii,130,3.076923076923077,23.846153846153847,45.38461538461539,27.692307692307693
Maui,49,0,28.57142857142857,46.93877551020408,24.489795918367346
Kauai,39,5.128205128205128,25.64102564102564,51.282051282051285,17.94871794871795
By Primary Fishing Motivation,,,,,
Recreational Expense,105,1.9047619047619049,15.238095238095239,46.666666666666664,36.19047619047619
Part-Time Commercial,93,0,23.655913978494624,49.46236559139785,26.881720430107528
Subsistence,49,2.0408163265306123,20.408163265306122,32.6530612244898,44.89795918367347
Full-Time Commercial,33,9.090909090909092,36.36363636363637,39.39393939393939,15.151515151515152
Purely Recreational,26,0,19.230769230769234,30.76923076923077,50
Cultural,4,0,0,75,25
By Most Common Gear,,,,,
Troll,185,2.1621621621621623,22.162162162162165,43.78378378378379,31.891891891891895
Bait for Pelagic,47,4.25531914893617,17.02127659574468,40.42553191489362,38.29787234042553
HL for Deep7 deep,47,0,21.27659574468085,36.170212765957444,42.5531914893617
HL for Deep7 shallow,30,3.3333333333333335,16.666666666666664,56.66666666666667,23.333333333333336
Spear,6,0,16.666666666666664,49.99999999999999,33.33333333333333
By Sub-fishery,,,,,
Pelagic,326,2.4539877300613497,21.165644171779142,42.94478527607362,33.43558282208589
Deep7 Bottom,196,1.0204081632653061,19.897959183673468,43.36734693877551,35.71428571428571
Non-Deep7 Bottom,198,2.0202020202020203,18.181818181818183,45.45454545454545,34.34343434343434
Coral Reef,55,0,27.27272727272727,40,32.72727272727273
