TYPE,Number of Respondents,Not at all important,Slightly important,Moderatel important,Very important,Extremely important
ALL,77,23.376623376623375,0,3.896103896103896,5.194805194805195,67.53246753246754
By County,,,,,,
Oahu,33,21.21212121212121,0,3.0303030303030303,9.090909090909092,66.66666666666666
Hawaii,21,28.57142857142857,0,9.523809523809524,0,61.904761904761905
Maui,10,10,0,0,10,80
Kauai,13,30.76923076923077,0,0,0,69.23076923076923
By Primary Fishing Motivation,,,,,,
Recreational Expense,27,18.51851851851852,0,7.4074074074074066,3.7037037037037033,70.37037037037037
Part-Time Commercial,23,17.391304347826086,0,0,8.695652173913043,73.91304347826086
Subsistence,8,12.5,0,0,0,87.5
Full-Time Commercial,5,40,0,0,0,60
Purely Recreational,8,25,0,12.5,12.5,50
Cultural,1,100,0,0,0,0
By Most Common Gear,,,,,,
Troll,38,26.31578947368421,0,5.263157894736842,2.631578947368421,65.78947368421053
Bait for Pelagic,11,18.181818181818183,0,9.090909090909092,0,72.72727272727273
HL for Deep7 deep,15,26.666666666666668,0,0,20,53.333333333333336
HL for Deep7 shallow,5,20,0,0,0,80
Spear,1,0,0,0,0,100
By Sub-fishery,,,,,,
Pelagic,74,24.324324324324326,0,4.054054054054054,5.405405405405405,66.21621621621621
Deep7 Bottom,45,26.666666666666668,0,2.2222222222222223,6.666666666666667,64.44444444444444
Non-Deep7 Bottom,51,27.450980392156865,0,5.88235294117647,7.8431372549019605,58.82352941176471
Coral Reef,17,23.52941176470588,0,0,0,76.47058823529412
