Variable,Statistic,All Respondents,Troll,Bait for pelagic,Handline bottom,Handline shallow,Spear
Boat Length,Number of Respondents,330,178,45,48,28,6
,Mean,23.53030303030303,24.247191011235955,23.6,23.083333333333332,20.75,21.833333333333332
,Standard Error,0.3350540046802733,0.4991303169550775,0.9108770332470623,0.668326833593551,0.631251800772747,1.8333333333333337
,Median,22,23,22,22.5,20,21
Boat Horsepower,Number of Respondents,329,178,45,48,28,6
,Mean,249.51975683890578,281.6292134831461,228.88888888888889,221.97916666666666,188.71428571428572,152.5
,Standard Error,14.574644110916097,25.35135410500719,20.557807684432778,17.410956075833006,21.253686710559826,34.199171529926474
,Median,200,200,180,210,165,157.5
Boat Age,Number of Respondents,320,174,45,48,26,5
,Mean,26.0875,26.839080459770116,26.466666666666665,27.041666666666668,24.153846153846153,15.6
,Standard Error,0.8316309348235464,1.134199872144476,2.1262191986735703,2.0320914560076266,3.255146130569402,4.8846698967279245
,Median,26,27.5,27,27,20.5,14
Current Boat Owner,Number of Respondents,325,177,45,48,26,5
,Mean,12.846153846153847,11.88135593220339,13.355555555555556,13.604166666666666,14.692307692307692,14.6
,Standard Error,0.6396395270176319,0.8632875671262203,1.697638155980825,1.5233814755261925,2.7477371001603546,5.163332257370235
,Median,9,8,9,11,8,11
Boat Purchase Price,Number of Respondents,307,167,43,43,25,6
,Mean,53148.05211726384,62346.35928143712,52488.37209302326,40297.90697674418,31576,60833.333333333336
,Standard Error,6824.183040506041,12194.073680501127,7503.164492459944,5301.1163867180285,4022.927126691045,25706.57071213074
,Median,35000,35000,36000,30000,37000,32000
Boat Current Market Value,Number of Respondents,309,171,43,43,25,6
,Mean,62221.553398058255,70884.21052631579,56750,49151.395348837206,37260,44833.333333333336
,Standard Error,6992.748640581529,12029.080900849207,7187.071764892143,6745.511387130607,4213.581216336843,12397.356349014271
,Median,40000,40000,42000,35000,37500,42000
Most Recent Years for major Vessel Improvement,Number of Respondents,257,136,34,37,25,4
,Mean,3.603112840466926,3.264705882352941,4.411764705882353,4.081081081081081,4.32,4
,Standard Error,0.2719989433515006,0.3496396050073874,0.9241440102170257,0.7222112964529785,1.0483638045386088,1.8257418583505538
,Median,2,2,2,2,2,4
